Startup instruction trace: 437 entries captured in 3.001s from IP=$8000 after 109 vblank starts
#9473 IP=$90E1 PC=$90D4 A=$00 X=$06 Y=$F4 SP=$FD P=$84 CYC=32311 PPU=F1 S22 D89 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
... repeated previous loop body 244 more times; middle removed ...
#10938 IP=$90D4 PC=$90D6 A=$00 X=$06 Y=$00 SP=$FD P=$05 CYC=36705 PPU=F1 S60 D313 VB=false OK=true Instruction { opcode: CPX, addressing_mode: Immediate, low_byte: Some(1), high_byte: None }
#10939 IP=$90D6 PC=$90DC A=$00 X=$06 Y=$00 SP=$FD P=$05 CYC=36708 PPU=F1 S60 D322 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(4), high_byte: None }
#10940 IP=$90DC PC=$90DE A=$00 X=$06 Y=$00 SP=$FD P=$05 CYC=36714 PPU=F1 S60 D340 VB=false OK=true Instruction { opcode: STA, addressing_mode: IndirectYIndexed, low_byte: Some(6), high_byte: None }
#10941 IP=$90DE PC=$90DF A=$00 X=$06 Y=$FF SP=$FD P=$85 CYC=36716 PPU=F1 S61 D5 VB=false OK=true Instruction { opcode: DEY, addressing_mode: Implied, low_byte: None, high_byte: None }
#10942 IP=$90DF PC=$90E1 A=$00 X=$06 Y=$FF SP=$FD P=$07 CYC=36718 PPU=F1 S61 D11 VB=false OK=true Instruction { opcode: CPY, addressing_mode: Immediate, low_byte: Some(255), high_byte: None }
#10943 IP=$90E1 PC=$90E3 A=$00 X=$06 Y=$FF SP=$FD P=$07 CYC=36720 PPU=F1 S61 D17 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#10944 IP=$90E3 PC=$90E4 A=$00 X=$05 Y=$FF SP=$FD P=$05 CYC=36722 PPU=F1 S61 D23 VB=false OK=true Instruction { opcode: DEX, addressing_mode: Implied, low_byte: None, high_byte: None }
#10945 IP=$90E4 PC=$90D2 A=$00 X=$05 Y=$FF SP=$FD P=$05 CYC=36725 PPU=F1 S61 D32 VB=false OK=true Instruction { opcode: BPL, addressing_mode: Relative, low_byte: Some(236), high_byte: None }
#10946 IP=$90D2 PC=$90D4 A=$00 X=$05 Y=$FF SP=$FD P=$05 CYC=36728 PPU=F1 S61 D41 VB=false OK=true Instruction { opcode: STX, addressing_mode: Zeropage, low_byte: Some(7), high_byte: None }
#10947 IP=$90D4 PC=$90D6 A=$00 X=$05 Y=$FF SP=$FD P=$05 CYC=36730 PPU=F1 S61 D47 VB=false OK=true Instruction { opcode: CPX, addressing_mode: Immediate, low_byte: Some(1), high_byte: None }
#10948 IP=$90D6 PC=$90DC A=$00 X=$05 Y=$FF SP=$FD P=$05 CYC=36733 PPU=F1 S61 D56 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(4), high_byte: None }
#10949 IP=$90DC PC=$90DE A=$00 X=$05 Y=$FF SP=$FD P=$05 CYC=36739 PPU=F1 S61 D74 VB=false OK=true Instruction { opcode: STA, addressing_mode: IndirectYIndexed, low_byte: Some(6), high_byte: None }
#10950 IP=$90DE PC=$90DF A=$00 X=$05 Y=$FE SP=$FD P=$85 CYC=36741 PPU=F1 S61 D80 VB=false OK=true Instruction { opcode: DEY, addressing_mode: Implied, low_byte: None, high_byte: None }
#10951 IP=$90DF PC=$90E1 A=$00 X=$05 Y=$FE SP=$FD P=$84 CYC=36743 PPU=F1 S61 D86 VB=false OK=true Instruction { opcode: CPY, addressing_mode: Immediate, low_byte: Some(255), high_byte: None }
#10952 IP=$90E1 PC=$90D4 A=$00 X=$05 Y=$FE SP=$FD P=$84 CYC=36746 PPU=F1 S61 D95 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
... repeated previous loop body 254 more times; middle removed ...
#12477 IP=$90D4 PC=$90D6 A=$00 X=$05 Y=$00 SP=$FD P=$05 CYC=41320 PPU=F1 S101 D177 VB=false OK=true Instruction { opcode: CPX, addressing_mode: Immediate, low_byte: Some(1), high_byte: None }
#12478 IP=$90D6 PC=$90DC A=$00 X=$05 Y=$00 SP=$FD P=$05 CYC=41323 PPU=F1 S101 D186 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(4), high_byte: None }
#12479 IP=$90DC PC=$90DE A=$00 X=$05 Y=$00 SP=$FD P=$05 CYC=41329 PPU=F1 S101 D204 VB=false OK=true Instruction { opcode: STA, addressing_mode: IndirectYIndexed, low_byte: Some(6), high_byte: None }
#12480 IP=$90DE PC=$90DF A=$00 X=$05 Y=$FF SP=$FD P=$85 CYC=41331 PPU=F1 S101 D210 VB=false OK=true Instruction { opcode: DEY, addressing_mode: Implied, low_byte: None, high_byte: None }
#12481 IP=$90DF PC=$90E1 A=$00 X=$05 Y=$FF SP=$FD P=$07 CYC=41333 PPU=F1 S101 D216 VB=false OK=true Instruction { opcode: CPY, addressing_mode: Immediate, low_byte: Some(255), high_byte: None }
#12482 IP=$90E1 PC=$90E3 A=$00 X=$05 Y=$FF SP=$FD P=$07 CYC=41335 PPU=F1 S101 D222 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#12483 IP=$90E3 PC=$90E4 A=$00 X=$04 Y=$FF SP=$FD P=$05 CYC=41337 PPU=F1 S101 D228 VB=false OK=true Instruction { opcode: DEX, addressing_mode: Implied, low_byte: None, high_byte: None }
#12484 IP=$90E4 PC=$90D2 A=$00 X=$04 Y=$FF SP=$FD P=$05 CYC=41340 PPU=F1 S101 D237 VB=false OK=true Instruction { opcode: BPL, addressing_mode: Relative, low_byte: Some(236), high_byte: None }
#12497 IP=$90E1 PC=$90D4 A=$00 X=$04 Y=$FD SP=$FD P=$84 CYC=41379 PPU=F1 S102 D13 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#12503 IP=$90E1 PC=$90D4 A=$00 X=$04 Y=$FC SP=$FD P=$84 CYC=41397 PPU=F1 S102 D67 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#12509 IP=$90E1 PC=$90D4 A=$00 X=$04 Y=$FB SP=$FD P=$84 CYC=41415 PPU=F1 S102 D121 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#12515 IP=$90E1 PC=$90D4 A=$00 X=$04 Y=$FA SP=$FD P=$84 CYC=41433 PPU=F1 S102 D175 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#12521 IP=$90E1 PC=$90D4 A=$00 X=$04 Y=$F9 SP=$FD P=$84 CYC=41451 PPU=F1 S102 D229 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#12527 IP=$90E1 PC=$90D4 A=$00 X=$04 Y=$F8 SP=$FD P=$84 CYC=41469 PPU=F1 S102 D283 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#12533 IP=$90E1 PC=$90D4 A=$00 X=$04 Y=$F7 SP=$FD P=$84 CYC=41487 PPU=F1 S102 D337 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#12539 IP=$90E1 PC=$90D4 A=$00 X=$04 Y=$F6 SP=$FD P=$84 CYC=41505 PPU=F1 S103 D50 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#12545 IP=$90E1 PC=$90D4 A=$00 X=$04 Y=$F5 SP=$FD P=$84 CYC=41523 PPU=F1 S103 D104 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#12546 IP=$90D4 PC=$90D6 A=$00 X=$04 Y=$F5 SP=$FD P=$05 CYC=41525 PPU=F1 S103 D110 VB=false OK=true Instruction { opcode: CPX, addressing_mode: Immediate, low_byte: Some(1), high_byte: None }
#12547 IP=$90D6 PC=$90DC A=$00 X=$04 Y=$F5 SP=$FD P=$05 CYC=41528 PPU=F1 S103 D119 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(4), high_byte: None }
#12548 IP=$90DC PC=$90DE A=$00 X=$04 Y=$F5 SP=$FD P=$05 CYC=41534 PPU=F1 S103 D137 VB=false OK=true Instruction { opcode: STA, addressing_mode: IndirectYIndexed, low_byte: Some(6), high_byte: None }
#12549 IP=$90DE PC=$90DF A=$00 X=$04 Y=$F4 SP=$FD P=$85 CYC=41536 PPU=F1 S103 D143 VB=false OK=true Instruction { opcode: DEY, addressing_mode: Implied, low_byte: None, high_byte: None }
#12550 IP=$90DF PC=$90E1 A=$00 X=$04 Y=$F4 SP=$FD P=$84 CYC=41538 PPU=F1 S103 D149 VB=false OK=true Instruction { opcode: CPY, addressing_mode: Immediate, low_byte: Some(255), high_byte: None }
#12551 IP=$90E1 PC=$90D4 A=$00 X=$04 Y=$F4 SP=$FD P=$84 CYC=41541 PPU=F1 S103 D158 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
... repeated previous loop body 244 more times; middle removed ...
#14016 IP=$90D4 PC=$90D6 A=$00 X=$04 Y=$00 SP=$FD P=$05 CYC=45935 PPU=F1 S142 D41 VB=false OK=true Instruction { opcode: CPX, addressing_mode: Immediate, low_byte: Some(1), high_byte: None }
#14017 IP=$90D6 PC=$90DC A=$00 X=$04 Y=$00 SP=$FD P=$05 CYC=45938 PPU=F1 S142 D50 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(4), high_byte: None }
#14018 IP=$90DC PC=$90DE A=$00 X=$04 Y=$00 SP=$FD P=$05 CYC=45944 PPU=F1 S142 D68 VB=false OK=true Instruction { opcode: STA, addressing_mode: IndirectYIndexed, low_byte: Some(6), high_byte: None }
#14019 IP=$90DE PC=$90DF A=$00 X=$04 Y=$FF SP=$FD P=$85 CYC=45946 PPU=F1 S142 D74 VB=false OK=true Instruction { opcode: DEY, addressing_mode: Implied, low_byte: None, high_byte: None }
#14020 IP=$90DF PC=$90E1 A=$00 X=$04 Y=$FF SP=$FD P=$07 CYC=45948 PPU=F1 S142 D80 VB=false OK=true Instruction { opcode: CPY, addressing_mode: Immediate, low_byte: Some(255), high_byte: None }
#14021 IP=$90E1 PC=$90E3 A=$00 X=$04 Y=$FF SP=$FD P=$07 CYC=45950 PPU=F1 S142 D86 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(241), high_byte: None }
#14022 IP=$90E3 PC=$90E4 A=$00 X=$03 Y=$FF SP=$FD P=$05 CYC=45952 PPU=F1 S142 D92 VB=false OK=true Instruction { opcode: DEX, addressing_mode: Implied, low_byte: None, high_byte: None }
#14023 IP=$90E4 PC=$90D2 A=$00 X=$03 Y=$FF SP=$FD P=$05 CYC=45955 PPU=F1 S142 D101 VB=false OK=true Instruction { opcode: BPL, addressing_mode: Relative, low_byte: Some(236), high_byte: None }
#14024 IP=$90D2 PC=$90D4 A=$00 X=$03 Y=$FF SP=$FD P=$05 CYC=45958 PPU=F1 S142 D110 VB=false OK=true Instruction { opcode: STX, addressing_mode: Zeropage, low_byte: Some(7), high_byte: None }
#14025 IP=$90D4 PC=$90D6 A=$00 X=$03 Y=$FF SP=$FD P=$05 CYC=45960 PPU=F1 S142 D116 VB=false OK=true Instruction { opcode: CPX, addressing_mode: Immediate, low_byte: Some(1), high_byte: None }
#14026 IP=$90D6 PC=$90DC A=$00 X=$03 Y=$FF SP=$FD P=$05 CYC=45963 PPU=F1 S142 D125 VB=false OK=true Instruction { opcode: BNE, addressing_mode: Relative, low_byte: Some(4), high_byte: None }
#14027 IP=$90DC PC=$90DE A=$00 X=$03 Y=$FF SP=$FD P=$05 CYC=45969 PPU=F1 S142 D143 VB=false OK=true Instruction { opcode: STA, addressing_mode: IndirectYIndexed, low_byte: Some(6), high_byte: None }
